Character;Sentence
Harry;I can’t let you out, Hedwig. 
Harry;I’m not allowed to use magic outside of school. 
Harry;Besides, if Uncle Vernon…
Vernon;HarryPotter!
Harry;Now you’ve done it.
Petunia;He’s in there. Vernon...
Vernon;I’m warning you, if you can’t control that bloody bird it’ll have to go.
Harry;But she’s bored! 
Harry;If I could only let out for an hour or two
Vernon;Huh, huh! So you could send secret messages to you freaky little friends. No, sir!
Harry;But I haven’t had any messages from any of my friends... not one… all summer.
Dudley;Who’d want to be friends with you?
Vernon;I should think you’d be a little more grateful. 
Vernon;We’ve raised you since you were a baby, given you the food off our table, even let you have Dudley’s second bedroom, purely out of the goodness of our hearts.
Petunia;Not now, Pupkins. For when the Masons arrive.
Vernon;Which should be any minute! 
Vernon;Ahem...Now let’s go over our schedule once again, shall we? 
Vernon;Petunia when the Masons arrive you will be...?
Petunia;in the lounge, waiting to welcome them graciously into our home.
Vernon;Good! And- and Dudley, you will be...?
Dudley;I’ll be waiting to open the door!
Vernon;Excellent! ...And you...?
Harry;I’ll be in my bedroom, making no noise and pretending that I don’t exist.
Vernon;Too right, you will. 
Vernon;With any luck, this could well be the day I make the biggest deal of my career. 
Vernon;And you will not mess it up!
Vernon;Mr. and Mrs. Mason! Do come in!
Dobby;Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! 
Dobby;HarryPotter! Such an honor it is!
Harry;Who are you?
Dobby;Dobbysir, Dobbythe house elf.
Harry;Not to be to be rude or anything, but this isn’t a great time for me to have a house elf in my bedroom.
Dobby;Oh, oh yes, sir! Dobbyunderstands! 
Dobby;It’s just that, Dobbyhas come to tell you- it is difficult, sir
Dobby; Dobbywonders where to begin?
Harry;Why don’t you sit down?
Dobby;S-sit down? S-sit- sit down? 
Dobby;Oh, oh, ho. Oh, ho, ho... Oh, ho, ho.
Harry;Dobby, ssh! I’m sorry! 
Harry;I didn’t mean to offend you, or anything.
Dobby;Offend Dobby? 
Dobby;Dobbyhas heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal.
Harry;You can’t have met many decent wizards then.
Dobby;No, I haven’t. 
Dobby;That was an awful thing to say. 
Dobby;Bad Dobby!
Harry;Stop, Dobby!
Dobby;Bad Dobby!
Harry;Dobby, shh!
Dobby;Baaad Dobby!
Harry;Dobby, please stop!
Vernon;Ohh, don’t mind that! 
Vernon;It’s just the cat.
Dobby;Bad Dobby. 
Dobby;Bad Dobby!
Harry;Stop! Stop, Dobby. 
Harry;Please be quiet! 
Harry;Are you all right?
Dobby;Dobbyhad to punish himself, sir. 
Dobby;Dobbyalmost spoke ill of his family, sir.
Harry;Your family?
Dobby;The wizard family Dobbyserves, sir. 
Dobby;Dobbyis bound to serve one family forever. 
Dobby;If they ever knew Dobbywas here...ooh... 
Dobby;But Dobbyhad to come. 
Dobby;Dobbyhas to protect HarryPotter- to warn him. 
Dobby;HarryPotter must not go back to Hogwarts School of Witchcraft and Wizardry this year! 
Dobby;There is a plot, a plot to make most terrible things happen.
Harry;What terrible things? 
Harry;Who’s plotting them?
Dobby;Ooo... er... can’t... say... argh...
Harry;Ok– I- understand. You can’t- say.
Dobby;Don’t make me talk, I— Errr...
Harry;Dobby! Dobby, put the lamp down.
Dobby;Bad Dobby.
Harry;Give me the lamp! Dobbystop!
Dobby;Let me go!
Harry;Get in there, and keep quiet!
Vernon;What the devil are you doing up here?
Harry;I- I was just—
Vernon;You just ruined the punch line of my Japanese golfer joke!
Harry;Sorry.
Vernon;One more sound, and you’ll wish you’d never been born, boy! 
Vernon;And fix that door!
Harry;Yes, sir... See why I’ve got to go back? 
Harry;I don’t belong here. 
Harry;I belong in your world, at Hogwarts. 
Harry;It’s the only place I’ve got friends!
Dobby;Friends who don’t even write to HarryPotter?
Harry;Well, I expect they’ve... been- hang on- 
Harry;how do you know my friends haven’t been writing to me?
Dobby;HarryPotter mustn’t be angry with Dobby. 
Dobby;Heh- Dobbyhoped, if HarryPotter thought his friends had forgotten him, HarryPotter might not want to go back to school, sir.
Harry;Give me those, now!
Dobby;No! Ahh! Ooh...
Harry;Dobby, get back here!
Harry;Dobby, please, no!
Dobby;HarryPotter must say he’s not going back to school!
Harry;I can’t. Hogwarts is my home!
Dobby;Then, Dobbymust do it, sir, for HarryPotter’s own good. 
Vernon;...it spread as far as the eye could see, all over the floor of this vast building, and it was this deep. 
Vernon;And one plumber said “Look at all that water.” 
Vernon;A-and the second plumber said, “Yes, and that’s just the top of it!”
Vernon;I’m so sorry! It’s my nephew- he’s very disturbed. 
Vernon;Meeting strangers upsets him. 
Vernon;That’s why I kept him upstairs!
Vernon;You’re never going back to that school. 
Vernon;You’re never going to see those freaky friends of yours again. Never!
Ron;Hi, Harry!
Harry;Ron! Fred. George. 
Harry;What are you all doing here?
Ron;Rescuing you, of course. 
Ron;Now, come on. Get your trunk!...
Ron;You’d better stand back. Let’s go!
Petunia;Oh!
Vernon;Now, what the hell’s he doing? Potter!
Dudley;Dad! What’s going on?
George;Go, go, go, go!
Dudley;Dad, hurry up!
Ron;Come on.
Fred;Come on.
Ron;Come on, Harry! Hurry up!
Vernon;Petunia, he’s escaping!
Harry;Ahh- ahh!
Ron;I’ve got you Harry!
Vernon;Come here!
Harry;Let go of me!
Vernon;Oh no, boy! You and that bloody pigeon aren’t going anywhere!
Harry;Get off!
Ron;Drive!
Fred;Right.
George;Right!
Vernon;No! No! No! No! Aaaah!
Aunt Petunia & Dudley  ;Aaah!
Dudley ;Dad!
Vernon;Oh... Damn.
Ron;By the way, Harry, Happy Birthday!
Fred;Come on. Okay, come on. Shh! 
Fred;Shh! Ok, come on. Shh! Come on.
Ron;Do you think it’d be all right if we had some of this?
George;Yeah, Mum would never know.
Ron;It’s not much, but it’s home.
Harry;I think it’s brilliant
Mrs. Weasley;Where have you been? 
Mrs. Weasley;Harry, how wonderful to see you dear. 
Mrs. Weasley;Beds empty! No note! Car gone!
Mrs. Weasley;You could have died! You could have been seen! 
Mrs. Weasley;Of course, I don’t blame you, Harry dear.
Ron;They were starving him, Mum. 
Ron;There were bars on his window!
Mrs. Weasley;Well, you’d best hope that I don’t put bars on your window, Ronald Weasley!  
Mrs. Weasley;Come on Harry, time for a spot of breakfast.
Mrs. Weasley;Here we are Harry. 
Mrs. Weasley;Now tuck in! That’s it. There we go.
Ginny;Mum- Mummy, have you seen my jumper?
Mrs. Weasley;Yes dear. It was on the cat.
Harry;Hello. W-what did I do?
Ron;Ginny. She’s been talking about you all summer.
Ron; A bit annoying really.
Mr. Weasley;Morning, Weasleys.
Fred, George, Ron ;Morning, Dad.
Mrs. Weasley;Morning Arthur!
Mr. Weasley;What a night. Nine raids. Nine!
Harry;Raids?
Ron;Dad works in the Ministry of Magic, in the Misuse of Muggle Artifacts Office. 
Ron;Dad loves Muggles, thinks they’re fascinating.
Mr. Weasley;Well now. Aah! And who are you?
Harry;Oh, sorry sir. I’m Harry, sir, Harry Potter.
Mr. Weasley;Good Lord! Are you really? 
Mr. Weasley;Well, Ron’s told us all about you, of course.
Mr. Weasley;When did he get here?
Mrs. Weasley;This morning. Your sons flew that enchanted car of yours to Surrey and back last night.
Mr. Weasley;Did you really? How’d it go? Did you—
Fred, George, Ron, Harry ;Oh, it...
Mrs. Weasley;Arthur!
Mr. Weasley;I mean...that was very wrong, indeed, boys. 
Mr. Weasley;Very wrong of you
Mr. Weasley;Now, Harry, you must know all about Muggles. 
Mr. Weasley;Tell me, what exactly is the function of a rubber duck?
Harry;Oh, umm...
Mrs. Weasley;Well, that’ll be Errol with the post. 
Mrs. Weasley;Oh, fetch it will you Percy, please?
Percy;Errol...
Ron;He’s always doing that.
Percy;Oh look, it’s our Hogwarts letters. 
Percy;And they’ve sent us Harry’s as well.
Mr. Weasley;Dumbledore must know you’re here, Harry. 
Mr. Weasley;Doesn’t miss a trick, that man.
Mrs. Weasley;Oh, no.
Fred;This lot won’t come cheap, Mum. 
Fred;The spell books alone are very expensive.
Mrs. Weasley;We’ll manage. 
Mrs. Weasley;There’s only one place we’re going to get all of this. 
Mrs. Weasley;Diagon Alley.
Mrs. Weasley;Right.
Mrs. Weasley;Here we are, Harry.
Mrs. Weasley;You go first, dear.
Ron;But Harry's never traveled by Floo powder before, Mum.
Harry;Floo powder?
Mrs. Weasley;You go first, Ron, so that Harrycan see how it's done. Yes.
Mrs. Weasley;In you go.
Mrs. Weasley;That's it.
Ron;Diagon Alley.
Mrs. Weasley;You see? It's quite easy, dear.
Mrs. Weasley;Don't be afraid. Come on.
Mrs. Weasley;Come on.
Mrs. Weasley;In you go. That's it.
Mrs. Weasley;Mind your head.
Mrs. Weasley;That's right.
Mrs. Weasley;Now, take your Floo powder.
Mrs. Weasley;That's it, very good.
Mrs. Weasley;Now, don't forget to speak very, very clearly.
Harry;Diagonally.
Mrs. Weasley;What did he say, dear?
Mr. Weasley;Diagonally.
Mrs. Weasley;I thought he did.
Mr. Borgin;Mr. Malfoy! What a pleasure to see you again. 
Mr. Borgin;If I may, just in today --
Lucius Malfoy;I'm not buying today, Mr. Borgin.
Lucius Malfoy;But selling.
Mr. Borgin; Selling?
Lucius Malfoy;You have heard, of course, that the Ministry of Magic is conducting more raids. 
Lucius Malfoy;There are even rumors of a new Muggle Protection Act...
Lucius Malfoy;I have a few... ah... items at home that might prove embarrassing if the Ministry were to call.
Lucius Malfoy;Certain poisons and the like...
Mr. Borgin;Hmmm... yes. I see...
Draco;Can I have this?
Mr. Borgin;Ah, the Hand of Glory. 
Mr. Borgin;Insert a candle and it gives light only to the holder. 
Mr. Borgin;Best friend of thieves and plunderers. 
